Name, Text
zero, zero
one, one
two, two
three, three
four, four
five, five
six, six
seven, seven
eight, eight
nine, nine
ten, ten
eleven, eleven
twelve, twelve
thirteen, thirteen
fourteen, fourteen
fifteen, fifteen
sixteen, sixteen
seventeen, seventeen
eightteen, eightteen
nineteen, nineteen
ten, ten
twenty, twenty
thirty, thirty
forty, forty
fifty, fifty
sixty, sixty
seventy, seventy
eighty, eighty
ninety, ninety
and, and
dot, dot
minus, minus
hundred, hundred
thousand, thousand
million, million
billion, billion
its, its
noon, noon
midnight, midnight
oclock, oclock
to, to
past, past
am, am
pm, pm
half, half
quarter, quarter

